annotation_id,frame_index,timestamp_seconds,timestamp_hms,interaction_type,x1,y1,x2,y2,width,height,source_keyframe_index,source_keyframe_number,block_start_frame,block_end_frame,is_keyframe
3,2,0.066667,00:00:00.067,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,2,0.066667,00:00:00.067,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,2,0.066667,00:00:00.067,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,2,0.066667,00:00:00.067,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,2,0.066667,00:00:00.067,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,2,0.066667,00:00:00.067,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,2,0.066667,00:00:00.067,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,2,0.066667,00:00:00.067,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,2,0.066667,00:00:00.067,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,2,0.066667,00:00:00.067,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,2,0.066667,00:00:00.067,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,2,0.066667,00:00:00.067,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,2,0.066667,00:00:00.067,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,2,0.066667,00:00:00.067,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,2,0.066667,00:00:00.067,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,3,0.1,00:00:00.100,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,3,0.1,00:00:00.100,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,3,0.1,00:00:00.100,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,3,0.1,00:00:00.100,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,3,0.1,00:00:00.100,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,3,0.1,00:00:00.100,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,3,0.1,00:00:00.100,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,3,0.1,00:00:00.100,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,3,0.1,00:00:00.100,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,3,0.1,00:00:00.100,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,3,0.1,00:00:00.100,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,3,0.1,00:00:00.100,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,3,0.1,00:00:00.100,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,3,0.1,00:00:00.100,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,3,0.1,00:00:00.100,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,3,0.1,00:00:00.100,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,3,0.1,00:00:00.100,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,4,0.133333,00:00:00.133,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,4,0.133333,00:00:00.133,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,4,0.133333,00:00:00.133,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,4,0.133333,00:00:00.133,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,4,0.133333,00:00:00.133,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,4,0.133333,00:00:00.133,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,4,0.133333,00:00:00.133,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,4,0.133333,00:00:00.133,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,4,0.133333,00:00:00.133,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,4,0.133333,00:00:00.133,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,4,0.133333,00:00:00.133,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,4,0.133333,00:00:00.133,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,4,0.133333,00:00:00.133,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,4,0.133333,00:00:00.133,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,4,0.133333,00:00:00.133,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,4,0.133333,00:00:00.133,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,4,0.133333,00:00:00.133,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,5,0.166667,00:00:00.167,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,5,0.166667,00:00:00.167,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,5,0.166667,00:00:00.167,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,5,0.166667,00:00:00.167,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,5,0.166667,00:00:00.167,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,5,0.166667,00:00:00.167,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,5,0.166667,00:00:00.167,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,5,0.166667,00:00:00.167,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,5,0.166667,00:00:00.167,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,5,0.166667,00:00:00.167,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,5,0.166667,00:00:00.167,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,5,0.166667,00:00:00.167,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,5,0.166667,00:00:00.167,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,5,0.166667,00:00:00.167,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,5,0.166667,00:00:00.167,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,5,0.166667,00:00:00.167,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,5,0.166667,00:00:00.167,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,6,0.2,00:00:00.200,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,6,0.2,00:00:00.200,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,6,0.2,00:00:00.200,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,6,0.2,00:00:00.200,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,6,0.2,00:00:00.200,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,6,0.2,00:00:00.200,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,6,0.2,00:00:00.200,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,6,0.2,00:00:00.200,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,6,0.2,00:00:00.200,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,6,0.2,00:00:00.200,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,6,0.2,00:00:00.200,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,6,0.2,00:00:00.200,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,6,0.2,00:00:00.200,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,6,0.2,00:00:00.200,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,6,0.2,00:00:00.200,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,6,0.2,00:00:00.200,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,6,0.2,00:00:00.200,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,7,0.233333,00:00:00.233,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,7,0.233333,00:00:00.233,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,7,0.233333,00:00:00.233,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,7,0.233333,00:00:00.233,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,7,0.233333,00:00:00.233,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,7,0.233333,00:00:00.233,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,7,0.233333,00:00:00.233,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,7,0.233333,00:00:00.233,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,7,0.233333,00:00:00.233,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,7,0.233333,00:00:00.233,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,7,0.233333,00:00:00.233,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,7,0.233333,00:00:00.233,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,7,0.233333,00:00:00.233,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,7,0.233333,00:00:00.233,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,7,0.233333,00:00:00.233,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,7,0.233333,00:00:00.233,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,7,0.233333,00:00:00.233,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,8,0.266667,00:00:00.267,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,8,0.266667,00:00:00.267,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,8,0.266667,00:00:00.267,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,8,0.266667,00:00:00.267,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,8,0.266667,00:00:00.267,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,8,0.266667,00:00:00.267,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,8,0.266667,00:00:00.267,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,8,0.266667,00:00:00.267,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,8,0.266667,00:00:00.267,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,8,0.266667,00:00:00.267,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,8,0.266667,00:00:00.267,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,8,0.266667,00:00:00.267,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,8,0.266667,00:00:00.267,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,8,0.266667,00:00:00.267,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,8,0.266667,00:00:00.267,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,8,0.266667,00:00:00.267,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,8,0.266667,00:00:00.267,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,9,0.3,00:00:00.300,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,9,0.3,00:00:00.300,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,9,0.3,00:00:00.300,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,9,0.3,00:00:00.300,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,9,0.3,00:00:00.300,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,9,0.3,00:00:00.300,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,9,0.3,00:00:00.300,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,9,0.3,00:00:00.300,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,9,0.3,00:00:00.300,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,9,0.3,00:00:00.300,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,9,0.3,00:00:00.300,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,9,0.3,00:00:00.300,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,9,0.3,00:00:00.300,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,9,0.3,00:00:00.300,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,9,0.3,00:00:00.300,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,9,0.3,00:00:00.300,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,9,0.3,00:00:00.300,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,10,0.333333,00:00:00.333,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,10,0.333333,00:00:00.333,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,10,0.333333,00:00:00.333,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,10,0.333333,00:00:00.333,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,10,0.333333,00:00:00.333,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,10,0.333333,00:00:00.333,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,10,0.333333,00:00:00.333,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,10,0.333333,00:00:00.333,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,10,0.333333,00:00:00.333,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,10,0.333333,00:00:00.333,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,10,0.333333,00:00:00.333,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,10,0.333333,00:00:00.333,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,10,0.333333,00:00:00.333,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,10,0.333333,00:00:00.333,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,10,0.333333,00:00:00.333,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,10,0.333333,00:00:00.333,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,10,0.333333,00:00:00.333,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,11,0.366667,00:00:00.367,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,11,0.366667,00:00:00.367,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,11,0.366667,00:00:00.367,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,11,0.366667,00:00:00.367,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,11,0.366667,00:00:00.367,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,11,0.366667,00:00:00.367,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,11,0.366667,00:00:00.367,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,11,0.366667,00:00:00.367,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,11,0.366667,00:00:00.367,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,11,0.366667,00:00:00.367,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,11,0.366667,00:00:00.367,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,11,0.366667,00:00:00.367,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,11,0.366667,00:00:00.367,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,11,0.366667,00:00:00.367,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,11,0.366667,00:00:00.367,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,11,0.366667,00:00:00.367,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,11,0.366667,00:00:00.367,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,12,0.4,00:00:00.400,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,12,0.4,00:00:00.400,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,12,0.4,00:00:00.400,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,12,0.4,00:00:00.400,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,12,0.4,00:00:00.400,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,12,0.4,00:00:00.400,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,12,0.4,00:00:00.400,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,12,0.4,00:00:00.400,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,12,0.4,00:00:00.400,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,12,0.4,00:00:00.400,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,12,0.4,00:00:00.400,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,12,0.4,00:00:00.400,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,12,0.4,00:00:00.400,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,12,0.4,00:00:00.400,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,12,0.4,00:00:00.400,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,12,0.4,00:00:00.400,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,12,0.4,00:00:00.400,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,13,0.433333,00:00:00.433,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,13,0.433333,00:00:00.433,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,13,0.433333,00:00:00.433,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,13,0.433333,00:00:00.433,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,13,0.433333,00:00:00.433,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,13,0.433333,00:00:00.433,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,13,0.433333,00:00:00.433,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,13,0.433333,00:00:00.433,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,13,0.433333,00:00:00.433,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,13,0.433333,00:00:00.433,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,13,0.433333,00:00:00.433,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,13,0.433333,00:00:00.433,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,13,0.433333,00:00:00.433,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,13,0.433333,00:00:00.433,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,13,0.433333,00:00:00.433,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,13,0.433333,00:00:00.433,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,13,0.433333,00:00:00.433,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,14,0.466667,00:00:00.467,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,14,0.466667,00:00:00.467,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,14,0.466667,00:00:00.467,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,14,0.466667,00:00:00.467,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,14,0.466667,00:00:00.467,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,14,0.466667,00:00:00.467,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,14,0.466667,00:00:00.467,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,14,0.466667,00:00:00.467,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,14,0.466667,00:00:00.467,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,14,0.466667,00:00:00.467,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,14,0.466667,00:00:00.467,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,14,0.466667,00:00:00.467,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,14,0.466667,00:00:00.467,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,14,0.466667,00:00:00.467,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,14,0.466667,00:00:00.467,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,14,0.466667,00:00:00.467,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,14,0.466667,00:00:00.467,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,15,0.5,00:00:00.500,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,15,0.5,00:00:00.500,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,15,0.5,00:00:00.500,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,15,0.5,00:00:00.500,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,15,0.5,00:00:00.500,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,15,0.5,00:00:00.500,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,15,0.5,00:00:00.500,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,15,0.5,00:00:00.500,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,15,0.5,00:00:00.500,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,15,0.5,00:00:00.500,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,15,0.5,00:00:00.500,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,15,0.5,00:00:00.500,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,15,0.5,00:00:00.500,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,15,0.5,00:00:00.500,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,15,0.5,00:00:00.500,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,15,0.5,00:00:00.500,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,15,0.5,00:00:00.500,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,16,0.533333,00:00:00.533,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,16,0.533333,00:00:00.533,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,16,0.533333,00:00:00.533,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,16,0.533333,00:00:00.533,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,16,0.533333,00:00:00.533,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,16,0.533333,00:00:00.533,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,16,0.533333,00:00:00.533,No Interaction,195,704,264,775,69,71,0,1,0,23,False
8,16,0.533333,00:00:00.533,No Interaction,348,688,428,737,80,49,0,1,0,23,False
9,16,0.533333,00:00:00.533,No Interaction,451,745,525,840,74,95,0,1,0,23,False
10,16,0.533333,00:00:00.533,Holding Object,540,835,860,1070,320,235,0,1,0,23,False
11,16,0.533333,00:00:00.533,Holding Object,1259,810,1319,915,60,105,0,1,0,23,False
12,16,0.533333,00:00:00.533,No Interaction,1294,897,1399,1017,105,120,0,1,0,23,False
13,16,0.533333,00:00:00.533,No Interaction,1532,828,1630,892,98,64,0,1,0,23,False
14,16,0.533333,00:00:00.533,No Interaction,1765,836,1875,900,110,64,0,1,0,23,False
15,16,0.533333,00:00:00.533,Holding Object,1649,818,1746,890,97,72,0,1,0,23,False
16,16,0.533333,00:00:00.533,Holding Object,1250,454,1421,543,171,89,0,1,0,23,False
17,16,0.533333,00:00:00.533,No Interaction,1444,106,1514,160,70,54,0,1,0,23,False
1,17,0.566667,00:00:00.567,Touching Shelf,194,211,279,284,85,73,0,1,0,23,False
2,17,0.566667,00:00:00.567,Touching Shelf,598,201,758,289,160,88,0,1,0,23,False
3,17,0.566667,00:00:00.567,Touching Shelf,1644,492,1688,533,44,41,0,1,0,23,False
4,17,0.566667,00:00:00.567,Touching Shelf,1602,418,1656,451,54,33,0,1,0,23,False
5,17,0.566667,00:00:00.567,Touching Shelf,1670,469,1714,502,44,33,0,1,0,23,False
6,17,0.566667,00:00:00.567,Holding Object,34,748,144,861,110,113,0,1,0,23,False
7,17,0.566667,00:00:00.567,No Interaction,195,704,264,775,69,71,0,1,0,23,False
